Bedlam Cube,Code,Color,Positions
flat-R,0,red,010-110-210-100-220
flat-X-plus,1,bright red,010-110-210-100-120
flat-W,2,green,000-100-110-210-220
bent-W-tip,3,bright green,000-100-110-210-211
folded-X,4,yellow,010-110-210-100-111
z-bump,5,bright yellow,110-210-000-100-101
bent-T,6,blue,000-100-200-110-111
tall-L-bump,7,bright blue,010-110-210-000-011
twisted-Z,8,magenta,010-110-210-000-211
L-bump-end,9,bright magenta,010-110-210-200-201
squiggle,A,cyan,000-100-110-111-211
bent-R-tip,B,bright cyan,010-110-210-000-111
squiggle,C,white,010-110-000-001
